Date,Temperatur,pH,Ammoniak,Nitrit-NO2,Nitrat-NO3,Phosphat-PO4,Karbonathärte,TDS,GH,Fe,Chlor,CO2,Notes
2021/05/27 17:01,24.6,7.6,,0,100,0.25,6,,16,,0,12,
2021/05/25 20:03,24.6,7.6,,0,125,1.5,6,,16,,0,7.2,
2021/05/18 09:21,25,7.2,,0,100,1,6,,16,,0,4.2,
2021/05/15 01:58,25,7.6,,0,100,,6,,16,,0,4.5,
2021/05/11 12:57,26.3,7.6,,0,50,1,6,,16,,0,4.3,Stäbchentest
2021/05/05 22:40,25,7.6,,0,100,,6,,16,,0,10,
2021/05/02 14:29,26,7.2,,0,100,1,6,,16,,0,12,
2021/04/26 17:46,25,7.2,,0,50,1.5,6,,16,,0,3,
2021/04/21 11:06,26,7.6,,0,70,1.0,10,,16,,0,0,
2021/04/17 11:56,26,7.6,,0,100,0.5,10,,16,,0,0,
2021/04/12 23:05,26,7.6,,0,100,0.5,10,,15,,0,0,
2021/04/10 11:48,26.5,7.6,,0,250,0.75,6,,16,,0,0,Test mit Teststreifen
2021/04/05 13:54,26.5,6.8,,0,225,0.75,6,,16,,0,0,Test mit Teststreifen
2021/03/30 18:11,25,7.6,,0,100,1,6,,16,,0,0,Test mit Teststreifen
2021/03/27 18:00,25,6.8,,0,250,1,3,,16,,0,0,Test mit Teststreifen
2021/03/17 14:30,25,6.8,,0,250,2,3,,16,0.05,0,0,Test bei Senator
