"ParametersList","Parameters","Date","Temperatur","pH","Ammoniak","Nitrit","NO2","Nitrat","NO3","Phosphat","PO4","kH","TDS","GH","Fe","Cl","CO2","Cu","Notes"
,,"2021/06/15 15:35","26","7","0","0","NO2","10","NO3","1","PO4","9",,,"0.3","0","27","0","Flüssigtest"
,,"2021/06/10 14:44","26.4","6.5","0","0","NO2","10","NO3","0.5","PO4","9",,"22","0.5","0","27","0",
,,"2021/06/08 19:53","27","7.0",,,"NO2","10","NO3","0.5","PO4","10",,,"0.5",,"30",,"Flüssigtest"
,,"2021/06/07 15:43","26.1","6.5",,,"NO2","10","NO3","0.5","PO4","10",,"21","0.5",,"30",,"Flüssigtest"
,,"2021/06/05 16:41","26.4","7",,"0","NO2","15","NO3","0.5","PO4","10",,"21","0.5",,"30",,"Flüssigtest"
,,"2021/06/02 17:36","25.4","7","0","0","NO2","25","NO3","1","PO4","11",,"23","0.25","0","33",,"Flüssigtest"
,,"2021/06/01 15:30","25.6","7","0","0","NO2","25","NO3","0.5","PO4","11",,"23","0.18","0","33",,"Flüssigtest"
,,"2021/05/31 21:57","24.9","7","0","0","NO2","50","NO3","0.5","PO4","10",,"23","0.25","0","39",,"Flüssigtest"
,,"2021/05/27 17:01","24.6","7.6",,"0","NO2","100","NO3","0.25","PO4","6",,"16",,"0","12",,"Stäbchen"
,,"2021/05/25 20:03","24.6","7.6",,"0","NO2","125","NO3","1.5","PO4","6",,"16",,"0","7.2",,"Stäbchen"
,,"2021/05/18 09:21","25","7.2",,"0","NO2","100","NO3","1","PO4","6",,"16",,"0","4.2",,"Stäbchen"
,,"2021/05/15 01:58","25","7.6",,"0","NO2","100","NO3",,"PO4","6",,"16",,"0","4.5",,"Stäbchen"
,,"2021/05/11 12:57","26.3","7.6",,"0","NO2","50","NO3","1","PO4","6",,"16",,"0","4.3",,"Stäbchen"
,,"2021/05/05 22:40","25","7.6",,"0","NO2","100","NO3",,"PO4","6",,"16",,"0","10",,"Stäbchen"
,,"2021/05/02 14:29","26","7.2",,"0","NO2","100","NO3","1","PO4","6",,"16",,"0","12",,"Stäbchen"
,,"2021/04/26 17:46","25","7.2",,"0","NO2","50","NO3","1.5","PO4","6",,"16",,"0","3",,"Stäbchen"
,,"2021/04/21 11:06","26","7.6",,"0","NO2","70","NO3","1.0","PO4","10",,"16",,"0","0",,"Stäbchen"
,,"2021/04/17 11:56","26","7.6",,"0","NO2","100","NO3","0.5","PO4","10",,"16",,"0","0",,"Stäbchen"
,,"2021/04/12 23:05","26","7.6",,"0","NO2","100","NO3","0.5","PO4","10",,"15",,"0","0",,"Stäbchen"
,,"2021/04/10 11:48","26.5","7.6",,"0","NO2","250","NO3","0.75","PO4","6",,"16",,"0","0",,"Stäbchen"
,,"2021/04/05 13:54","26.5","6.8",,"0","NO2","225","NO3","0.75","PO4","6",,"16",,"0","0",,"Stäbchen"
,,"2021/03/30 18:11","25","7.6",,"0","NO2","100","NO3","1","PO4","6",,"16",,"0","0",,"Stäbchen"
,,"2021/03/27 18:00","25","6.8",,"0","NO2","250","NO3","1","PO4","3",,"16",,"0","0",,"Stäbchen"
,,"2021/03/17 14:30","25","6.8",,"0","NO2","250","NO3","2","PO4","3",,"16","0.05","0","0",,"Test bei Senator"
